Sample Size,Average_Bias_nu,Average_Squared_Error_nu
"SampleSize:10
","Average Bias (nu,alpha,tau): (-0.2068126264658542, -0.34308296061716215, 0.0399202866948187)
","Average squared Error (nu,alpha,tau): (0.7750771301403916, 0.8947641778752378, 0.03163363521697792)

"
"SampleSize:40
","Average Bias (nu,alpha,tau): (-0.04812638319105918, -0.047532728396587134, 0.003899382859298553)
","Average squared Error (nu,alpha,tau): (0.13415391963665552, 0.08745333176172314, 0.0048854379901150085)

"
"SampleSize:4000
","Average Bias (nu,alpha,tau): (0.0011449872553444486, 0.00018786862642104164, -0.00011457022834917739)
","Average squared Error (nu,alpha,tau): (0.0011942402304702475, 0.00014970256356920631, 3.563265730541732e-05)

"
